Domain,Modality,Category,Feature_name
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__mean_pause_duration
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__pause_duration_variability
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__pause_duration_kurtosis
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__pause_duration_skewness
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__pause_duration_max
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__pause_duration_min
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__mean_syllable_duration
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__syllable_duration_variability
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__syllable_duration_kurtosis
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__syllable_duration_skewness
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__syllable_duration_max
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__syllable_duration_min
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__npauses
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__nsyll
"Motor speech, Episodic memory, Semantic memory & Syntax",Audio,Speech Timing,Fugu__talking_intervals__speechrate
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_mean
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_stddev
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_kurtosis
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_skewness
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_max
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__hnr_min
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_mean
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_stddev
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_kurtosis
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_skewness
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_max
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__jitter_min
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__shimmer_mean
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__shimmer_stddev
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__shimmer_kurtosis
Motor speech,Audio,Voice Quality,Fugu__pitch_analysis__shimmer_skewness
