epoch,train_loss,train_uar,val_loss,val_uar
1,0.6932212379243639,0.5034339147874253,0.6934213795159992,0.5
2,0.6927796966499753,0.5133335824686263,0.692909930881701,0.5
3,0.6927827994028727,0.5213294412864239,0.6917740451662164,0.6314052427000378
4,0.6913712565545682,0.5613281125648617,0.6899500771572715,0.6295209992415625
5,0.6882811045205152,0.6022582730218312,0.6843630451905099,0.6192346890405764
6,0.6836268758332288,0.6174333805306305,0.6743978920735811,0.6192050625711035
7,0.6718203491634793,0.6228140108152399,0.6606278858686748,0.6357958854759196
8,0.6648522637508534,0.6269641895698126,0.6469188097276186,0.6307949374288965
9,0.6543055419568662,0.6228873673181554,0.6393758074233407,0.6368802142586272
10,0.6537799261234425,0.6323683492987533,0.6340395965074238,0.6420885475919605
11,0.6466936281433812,0.6264486179219625,0.6304647640178078,0.6402339306029579
12,0.6460225902221821,0.6294029472705153,0.6279320528632716,0.6314941221084567
13,0.6423113003925041,0.6271081344057223,0.6257938617154172,0.6368802142586272
14,0.6418119326785758,0.6340756180977414,0.6248174827349814,0.6332302332195677
15,0.6440445769716192,0.6259455030387586,0.6233432073342172,0.6455607698141828
16,0.6437178088559045,0.6376437891263518,0.6225549688464717,0.6368802142586272
17,0.6433307743734784,0.6235427315470332,0.6221528272879752,0.6473561338642396
18,0.6393415166272057,0.6352548584842332,0.6212935557490901,0.6473857603337125
19,0.6392951232415659,0.6288306281392777,0.6204546125311601,0.6403524364808495
20,0.6354698947182408,0.6376562458909978,0.6198764913960507,0.6562440747061055
21,0.6402981424773181,0.644102621595324,0.6188428809768275,0.6545375900644672
22,0.6350910078596186,0.6317365145142069,0.6182781238304941,0.6526237201365188
23,0.6379733637527183,0.6364313307008037,0.619217657729199,0.6384385665529011
24,0.6345268498968195,0.6376534777210765,0.6170578065671419,0.6438839116420174
25,0.6373065456196114,0.6358354821252348,0.6173764718206305,0.6455015168752369
26,0.6350361014957782,0.638850711212057,0.6156065401278044,0.6527718524838833
27,0.6376599702570174,0.6393870441343171,0.6160267497363844,0.6544487106560486
28,0.6362629731496176,0.6428915472547367,0.6158936008026725,0.6507394766780432
29,0.6328330520126555,0.6358590115695661,0.6147477187608418,0.6525052142586272
30,0.630548995954019,0.6376603981458797,0.6133619531204826,0.6528607318923019
