epoch,train_loss,train_uar,val_loss,val_uar
1,0.693315965157968,0.5043792448155637,0.6933581860441911,0.5
2,0.6933256476013748,0.4948207540771683,0.6931397350210893,0.5
3,0.693009027728328,0.5017328743707604,0.6930812471791318,0.5
4,0.6931162818714425,0.5093875562457526,0.6930509993904516,0.5
5,0.6930492255422804,0.5116408465617254,0.6930112807374251,0.5
6,0.6930657316137243,0.5057833990081647,0.6929776166614733,0.5
7,0.6931928385187078,0.499377161767698,0.693034153235586,0.5
8,0.6933446559641097,0.48865880783226,0.6929059781526264,0.5
9,0.693110113894498,0.5138941368776981,0.6928787639266566,0.5
10,0.6929936618716629,0.5127024397265602,0.6928406608732123,0.5
11,0.6933898042749476,0.48902766647427887,0.6926838630124142,0.5
12,0.6929174948621679,0.5097024355743053,0.6926452078317341,0.5
13,0.6930661002794901,0.5080117757948454,0.6926216734083075,0.5
14,0.6931506704401087,0.4863127838239223,0.6925135599939447,0.5
15,0.6926921826821787,0.5076304603881805,0.6924349508787456,0.6017076697004171
16,0.6927974908440201,0.5085896312659256,0.6921325514191076,0.5050898274554418
17,0.6924039070253019,0.5240111058977245,0.6918968872020119,0.6084151023890785
18,0.6922287907865312,0.5304118067983485,0.6914206492273431,0.5916465206674251
19,0.6923210830600174,0.5143820268263347,0.6908483348394695,0.6167993932499052
20,0.6910815548013758,0.5657751775434984,0.6901060876093412,0.6121717387182404
21,0.6903861474107813,0.5765170609232677,0.6889167929950514,0.6330821008722032
22,0.6888872594745071,0.5863876628202946,0.6870397423443041,0.6297580109973455
23,0.68790986361327,0.5946824839895972,0.6840921640396118,0.6308245638983694
24,0.6855292088455625,0.6106264506940494,0.6804135598634419,0.6304690462646947
25,0.6809256297570688,0.612850675225848,0.6752919491968656,0.6276663822525597
26,0.6784086481288627,0.5993842206009974,0.667909700619547,0.6340301478953356
27,0.670415425742114,0.607662432750772,0.6612944697078905,0.6353218619643535
28,0.6659573316574097,0.6146603663119257,0.6541296400521931,0.6280811528251802
29,0.6625494184317412,0.6193814801127753,0.6470080018043518,0.6368505877891544
30,0.6567141038400156,0.6153157305408035,0.6401873670126262,0.6338523890784983
