id,word_count,mean_word_duration_s,total_speaking_time_s
AF022,118.0,0.7583898305084744,89.48999999999998
AF023,168.0,0.7209523809523809,121.11999999999999
AF024,181.0,0.8032044198895025,145.37999999999997
AF025,272.0,0.6140808823529417,167.03000000000014
AF026,109.0,0.7254128440366978,79.07000000000006
AF027,214.0,0.7718691588785047,165.18
AF028,47.0,1.6829787234042555,79.10000000000001
AF029,201.0,0.7372139303482584,148.17999999999995
AF030,106.0,0.9111320754716979,96.57999999999998
AF031,121.0,0.7566115702479341,91.55000000000003
AF032,97.0,0.8222680412371136,79.76000000000002
AF033,275.0,0.7222545454545453,198.61999999999995
AF034,186.0,0.776881720430107,144.4999999999999
AF035,243.0,0.7393004115226337,179.64999999999998
AF036,127.0,1.0631496062992125,135.01999999999998
AF037,222.0,0.8495495495495496,188.60000000000002
AF038,168.0,0.7373809523809521,123.87999999999997
AF039,213.0,0.8286854460093896,176.51
AF040,28.0,0.7664285714285707,21.45999999999998
AF041,227.0,0.6402202643171804,145.32999999999996
AF042,110.0,0.5974545454545448,65.71999999999993
AF043,171.0,0.8595906432748539,146.99
AF044,218.0,0.6818807339449543,148.65000000000003
AF045,125.0,1.0777600000000003,134.72000000000003
AF046,198.0,0.7141919191919189,141.40999999999994
AF047,204.0,0.8420098039215685,171.76999999999998
AF049,294.0,0.6930272108843536,203.74999999999997
AF050,98.0,0.7919387755102042,77.61000000000001
AF051,163.0,0.8299999999999997,135.28999999999996
AF052,95.0,0.7474736842105261,71.00999999999998
AF053,164.0,0.8442682926829264,138.45999999999992
AF055,335.0,0.5788358208955227,193.91000000000008
AF056,153.0,0.8296078431372549,126.92999999999999
AF057,200.0,0.7871499999999996,157.42999999999992
AF058,201.0,0.733134328358209,147.36
AF059,195.0,0.742820512820513,144.85000000000002
AF060,123.0,1.0502439024390244,129.18
AF061,119.0,0.8660504201680677,103.06000000000004
AF071,212.0,0.8941981132075474,189.57000000000005
AF072,201.0,0.9127363184079601,183.45999999999998
AF074,170.0,0.8830588235294118,150.12
AF076,110.0,0.7882727272727271,86.70999999999998
AF077,180.0,0.9787777777777775,176.17999999999995
AF078,155.0,1.151096774193548,178.41999999999996
AF079,155.0,0.8521935483870966,132.08999999999997
AF080,288.0,0.5525347222222222,159.13
AF081,249.0,0.7375100401606425,183.64
AF082,171.0,0.7412865497076021,126.75999999999996
AF083,185.0,0.9995135135135134,184.90999999999997
AF084,203.0,0.6758128078817733,137.19
AF085,196.0,0.6507142857142851,127.53999999999988
AF086,51.0,1.59078431372549,81.13
AF087,177.0,0.7761016949152543,137.37
AF088,106.0,0.7368867924528303,78.11000000000001
AF092,138.0,0.9008695652173914,124.32000000000001
AF093,130.0,1.006153846153846,130.79999999999998
AF094,188.0,1.0313297872340426,193.89
AF095,212.0,0.8032547169811322,170.29000000000002
AF096,139.0,0.5478417266187051,76.15
AF097,198.0,0.9451010101010102,187.13000000000002
AF098,111.0,1.2318918918918915,136.73999999999995
AF099,147.0,1.024829931972789,150.64999999999998
AF100,94.0,1.6967021276595742,159.48999999999998
AF101,141.0,0.9956737588652481,140.39
AF102,221.0,0.8247511312217196,182.27000000000004
AF103,157.0,1.0371974522292995,162.84000000000003
AF104,161.0,0.7240372670807453,116.57
AF105,219.0,0.7675342465753423,168.08999999999997
AF106,132.0,0.623409090909091,82.29000000000002
AF107,205.0,0.810926829268293,166.24000000000007
AF108,82.0,0.8704878048780491,71.38000000000002
AF109,218.0,0.6188073394495411,134.89999999999998
AF110,277.0,0.7003249097472927,193.99000000000007
AF111,237.0,0.7349789029535865,174.19
AF112,129.0,1.0280620155038764,132.62000000000006
AF113,129.0,1.2029457364341085,155.18
AF114,177.0,0.8247457627118648,145.98000000000008
AF115,151.0,0.8146357615894037,123.00999999999995
AF116,154.0,1.1080519480519486,170.64000000000007
AF117,175.0,0.8192571428571427,143.36999999999998
AF118,163.0,1.022331288343558,166.63999999999996
AF120,166.0,0.8370481927710842,138.95
AF121,145.0,0.9815172413793103,142.32
AF122,27.0,0.4503703703703704,12.160000000000002
AF124,149.0,0.7012751677852348,104.48999999999998
AF125,122.0,1.0230327868852458,124.80999999999997
AF126,96.0,1.4522916666666668,139.42000000000002
AF127,222.0,0.8231981981981982,182.75
AF128,79.0,1.4500000000000004,114.55000000000004
AF130,167.0,0.8155089820359281,136.19
AF131,256.0,0.7371875,188.72
AF133,216.0,0.8318055555555556,179.67000000000002
AF135,131.0,0.9848854961832064,129.02000000000004
AF136,136.0,0.6588970588235293,89.60999999999999
AF137,189.0,0.734074074074074,138.73999999999998
AF138,158.0,0.8027215189873419,126.83000000000001
AF139,158.0,1.0234810126582277,161.70999999999998
AF140,125.0,1.1063200000000002,138.29000000000002
AF141,162.0,0.8727777777777777,141.39
AF142,130.0,1.1760769230769232,152.89000000000001
AF143,300.0,0.5504000000000003,165.1200000000001
AF144,193.0,0.8372538860103627,161.59
AF145,169.0,1.0171597633136094,171.89999999999998
AF146,75.0,1.3127999999999997,98.45999999999998
AF147,172.0,0.7938372093023255,136.54
AF148,199.0,0.7071859296482411,140.73
AF149,154.0,0.8996103896103897,138.54000000000002
AF150,116.0,0.8529310344827582,98.93999999999996
AF151,262.0,0.5829007633587783,152.7199999999999
AF152,111.0,1.3044144144144143,144.79
AF155,191.0,0.8777486910994763,167.64999999999998
AF156,86.0,1.225581395348837,105.39999999999999
AF157,239.0,0.6251046025104602,149.39999999999998
AF158,94.0,1.0252127659574461,96.36999999999995
AF159,140.0,0.6129285714285714,85.80999999999999
